city,latitude,longitude
Asifabad,19.3593461,79.2960404
Banswada,18.3821084,77.8763494
Bellmpalli,19.0756,79.4881
Bhadrachalam,17.6688019,80.8940083
Bhupalpally,18.4381466,79.8684969
Bhuvanagiri,17.5172789,78.8863383
Bijnapally,16.55,78.2
Bodhan,18.6536941,77.8936802
Chinnur,18.8535,79.7826
Choutuppal,17.2526027,78.8964038
Devarakonda,16.6931795,78.9147252
DhrmpuriTS,18.9475,79.094
Ghanpur,18.3098774,79.8726224
Ghatkesar,17.4510837,78.6843022
Haliya,16.781444,79.3212948
Husnabad,18.1266495,79.2111468
Hyderabad,17.360589,78.4740613
Jadcherla,16.7699159,78.1377227
Jagtial,18.821359,78.9150663
Jammikunta,18.2897332,79.4739441
Jangaon,17.7465843,79.2407218
JoguGadwal,16.235,77.7956
Kadthal,19.0470997,78.3531024
Kaghaznagar,19.3551634,79.4877003
Kalwakurthy,16.6721316,78.4880729
Kamareddy,18.316551,78.0539381
Karimnagar,18.4348122,79.1328042
Khammam,17.2465351,80.1500326
Khanpur,19.4975971,78.8105402
Kodad,16.9947802,79.9749826
Koratla,19.662698,78.527535
Kusumnchi,17.2263,79.9669
Luxettipet,19.3965422,78.7710285
Mahabubnagar,16.6965686,77.9591146
Mahadevpur,18.7295713,79.9852985
Mahbubabad,17.595749,79.9999224
Mancherial,18.9812967,79.5198096
Manthani,18.6512469,79.665771
Manuguru,17.9383442,80.8179917
Medak,17.9375095,78.211745
Medchal,17.6339929,78.4843146
Metpally,18.1836339,78.9031206
Miryalguda,16.8702377,79.5562492
Mothkur,17.4278329,79.2642694
Mulugu,18.3145348,80.3458816
Nalgonda,17.0504406,79.2669235
Narayankhed,18.0347921,77.7772967
Narsapur,17.7384006,78.279637
Parkal,18.1983314,79.7010601
Patancheru,17.5286092,78.2674254
Peddapalli,18.6206531,79.4950171
Ramagundam,18.7615156,79.4787848
Rayaparthi,17.7024521,79.6062062
Sangareddy,17.8684342,77.8227189
Sathupally,17.211431,80.8344943
Shadnagar,17.0671702,78.2045948
Shamshabad,17.2611444,78.3931943
Suryapet,17.0800139,79.792533
Tallada,17.2181818,80.4199516
Tandur,17.2509364,77.5841263
Thirumalagiri,16.8565263,77.8860957
Vemulawada,18.4674786,78.8699
Vikarabad,17.2702855,77.745297
Wanaparthy,16.2852944,77.9864473
Warangal,17.9820644,79.5970954
Yellandu,17.5915639,80.3216885
Yellareddy,18.2136013,78.0323875
Zahirabad,17.6758253,77.6106926
