source_name,destination_name,avg_distance_km,avg_time_min,trip_count,route_types
Asifabad_PaikjNGR_D (Telangana),Karimnagar_KamnHbRD_I (Telangana),105.09421789326124,242.28571428571428,7,FTL
Asifabad_PaikjNGR_D (Telangana),Mancherial_Hitech_D (Telangana),53.164903414407384,75.5,2,FTL
Banswada_Menagrdn_D (Telangana),Yellareddy_JKRoad_D (Telangana),25.350276679365084,41.95,20,FTL
Bellmpalli_BasthDPP_D (Telangana),Asifabad_PaikjNGR_D (Telangana),36.5433240951985,84.0,2,FTL
Bellmpalli_BasthDPP_D (Telangana),Kaghaznagar_Central_DPP_1 (Telangana),32.09045181055206,52.333333333333336,3,FTL
Bhadrachalam_ITDARd_D (Telangana),Manuguru_AskNagar_D (Telangana),29.457011704798227,53.94736842105263,19,FTL
Bhadrachalam_ITDARd_D (Telangana),Sathupally_VidyaNGR_D (Telangana),51.38248775863705,141.0,1,FTL
Bhupalpally_JwahrNGR_D (Telangana),Mahadevpur_Kataram_D (Telangana),22.5002814886222,34.0,1,FTL
Bhuvanagiri_HBColny_D (Telangana),Mothkur_Mainroad_D (Telangana),38.983469891957064,47.714285714285715,14,FTL
Bhuvanagiri_HBColny_D (Telangana),Thirumalagiri_Xroad_D (Telangana),60.06108980370035,90.0,1,FTL
Bijnapally_nagar_D (Telangana),Jadcherla_Badeplly_D (Telangana),27.0583187449067,38.78947368421053,19,FTL
Bodhan_SuryaDPP_D (Telangana),Banswada_Menagrdn_D (Telangana),28.847683279652433,43.0,19,FTL
Chinnur_AsnsdhRD_D (Telangana),Karimnagar_KamnHbRD_I (Telangana),81.41808795963196,156.0,1,FTL
Chinnur_AsnsdhRD_D (Telangana),Manthani_Chaitnya_D (Telangana),24.692447000529974,86.6,5,FTL
Choutuppal_Nagaram_D (Telangana),Miryalguda_Ragvendr_D (Telangana),79.6966963554094,110.66666666666667,6,FTL
Devarakonda_DindiRD_D (Telangana),Haliya_PeroorRD_D (Telangana),44.10241512508034,59.8,15,FTL
DhrmpuriTS_HanumDPP_D (Telangana),Karimnagar_KamnHbRD_I (Telangana),56.94962936873068,117.0,1,FTL
DhrmpuriTS_HanumDPP_D (Telangana),Luxettipet_ShivaDPP_D (Telangana),15.000648498677483,41.0,1,FTL
Ghanpur_Palakrty_D (Telangana),Jangaon_Hanmkond_D (Telangana),24.100109637671366,29.8125,16,FTL
Ghatkesar_Central_D_1 (Telangana),Hyderabad_Uppal_I (Telangana),11.57230124348198,41.0,2,Carting
Haliya_PeroorRD_D (Telangana),Hyderabad_Shamshbd_H (Telangana),109.88837609167767,240.0,12,FTL
Husnabad_Greenmkt_D (Telangana),Jammikunta_ConduDPP_D (Telangana),31.715374694178404,78.0,13,FTL
Hyd_Chandanagar_Dc (Telangana),Sangareddy_Pothredy_D (Telangana),24.884534628110803,45.0,4,Carting
Hyd_LB-Nagar_Dc (Telangana),Hyderabad_Uppal_I (Telangana),10.30948050246579,33.0,1,Carting
Hyd_Trimulgherry_Dc (Telangana),Hyderabad_Alwal_I (Telangana),9.18717239229196,44.0,1,Carting
Hyd_Trimulgherry_Dc (Telangana),Medchal_MROoffce_D (Telangana),16.434391229452366,35.0,1,Carting
Hyd_Uppal_Dc (Telangana),Ghatkesar_Central_D_1 (Telangana),12.493257745495171,21.0,2,Carting
Hyderabad_Alwal_I (Telangana),Hyd_Trimulgherry_Dc (Telangana),9.11092270452614,31.0,1,Carting
Hyderabad_Alwal_I (Telangana),Hyderabad_Shamshbd_H (Telangana),35.322390024918356,193.33333333333334,9,Carting
Hyderabad_Alwal_I (Telangana),Medchal_MROoffce_D (Telangana),9.50101372105903,57.0,1,Carting
Hyderabad_Alwal_L (Telangana),Hyderabad_Shamshbd_H (Telangana),35.69564140778872,102.07692307692308,39,Carting
Hyderabad_Bownplly_C (Telangana),Hyderabad_Shamshbd_P (Telangana),26.96544355953307,202.63636363636363,11,Carting
Hyderabad_Chikdply_C (Telangana),Hyderabad_Shamshbd_P (Telangana),21.83557851561085,73.8125,32,Carting
Hyderabad_Chikdply_I (Telangana),Hyderabad_Shamshbd_H (Telangana),21.77643858507266,68.65,20,Carting
Hyderabad_Mhdiptnm_C (Telangana),Hyderabad_Shamshbd_P (Telangana),16.548425186590702,54.0625,16,Carting
Hyderabad_North_D_2 (Telangana),Medchal_MROoffce_D (Telangana),14.112839998687763,27.941176470588236,17,Carting
Hyderabad_PndrgNgr_DC (Telangana),Hyderabad_Chikdply_I (Telangana),9.29087990516049,61.25,4,Carting
Hyderabad_Shamshbd_H (Telangana),Choutuppal_Nagaram_D (Telangana),54.450495882280485,104.71428571428571,7,FTL
Hyderabad_Shamshbd_H (Telangana),Hyderabad_Alwal_I (Telangana),34.73597396425652,80.75,12,Carting
Hyderabad_Shamshbd_H (Telangana),Hyderabad_Alwal_L (Telangana),35.67826112015963,128.96969696969697,33,Carting
Hyderabad_Shamshbd_H (Telangana),Hyderabad_Chikdply_I (Telangana),21.463486427490142,58.833333333333336,24,Carting
Hyderabad_Shamshbd_H (Telangana),Hyderabad_Tolichwk_I (Telangana),17.815107747603662,39.68421052631579,19,Carting
Hyderabad_Shamshbd_H (Telangana),Hyderabad_Uppal_I (Telangana),27.430423238921428,63.6,10,Carting
