hub_name,city,facility_code,hub_type,state,latitude,longitude
Asifabad_PaikjNGR_D (Telangana),Asifabad,PaikjNGR,Delivery,Telangana,19.35278403365173,79.28816613876016
Banswada_Menagrdn_D (Telangana),Banswada,Menagrdn,Delivery,Telangana,18.380192651289835,77.88843055714125
Bellmpalli_BasthDPP_D (Telangana),Bellmpalli,BasthDPP,Delivery,Telangana,19.074176456360547,79.47139354494158
Bhadrachalam_ITDARd_D (Telangana),Bhadrachalam,ITDARd,Delivery,Telangana,17.677271001337143,80.88719522983091
Bhupalpally_JwahrNGR_D (Telangana),Bhupalpally,JwahrNGR,Delivery,Telangana,18.42906317167448,79.87334865856482
Bhuvanagiri_HBColny_D (Telangana),Bhuvanagiri,HBColny,Delivery,Telangana,17.520226093975523,78.9011005322842
Bijnapally_nagar_D (Telangana),Bijnapally,nagar,Delivery,Telangana,16.561822129541696,78.20198957894284
Bodhan_SuryaDPP_D (Telangana),Bodhan,SuryaDPP,Delivery,Telangana,18.64460408882242,77.88118795782175
Chinnur_AsnsdhRD_D (Telangana),Chinnur,AsnsdhRD,Delivery,Telangana,18.85643475593788,79.79821933894183
Choutuppal_Nagaram_D (Telangana),Choutuppal,Nagaram,Delivery,Telangana,17.25627435669288,78.88703241203167
Devarakonda_DindiRD_D (Telangana),Devarakonda,DindiRD,Delivery,Telangana,16.699013909686588,78.89877755427752
DhrmpuriTS_HanumDPP_D (Telangana),DhrmpuriTS,HanumDPP,Delivery,Telangana,18.94129328249807,79.10374627853591
Ghanpur_Palakrty_D (Telangana),Ghanpur,Palakrty,Delivery,Telangana,18.32276324250147,79.86907225059049
Ghatkesar_Central_D_1 (Telangana),Ghatkesar,Central,Delivery,Telangana,17.46024082441883,78.69033757517472
Haliya_PeroorRD_D (Telangana),Haliya,PeroorRD,Delivery,Telangana,16.790665044459466,79.30817359359797
Husnabad_Greenmkt_D (Telangana),Husnabad,Greenmkt,Delivery,Telangana,18.13272585805759,79.19495189098062
Hyd_Chandanagar_Dc (Telangana),Hyd,Chandanagar,Distribution Center,Telangana,17.34136681821619,78.46960862560402
Hyd_LB-Nagar_Dc (Telangana),Hyd,LB-Nagar,Distribution Center,Telangana,17.34937342725625,78.48478948438236
Hyd_Trimulgherry_Dc (Telangana),Hyd,Trimulgherry,Distribution Center,Telangana,17.368333170212672,78.45984903604958
Hyd_Uppal_Dc (Telangana),Hyd,Uppal,Distribution Center,Telangana,17.37077318597574,78.46201612108783
